username,likes,year,follower_count,uplifting,envious,funny,motivated,desensitized
squat_university,"61,062",2024,"3,200,000",1,0,0,1,0
isabellagreenlee,"55,590",2023,"32,000",1,1,0,0,0
afrinsophianto,"15,015",2023,"107,000",0,0,0,1,0
kenimilovanov,"27,024",2024,"94,500",1,0,0,1,0
c.cruz_7,"12,752",2023,"34,200",1,0,0,1,0
gr55nblingz,"21,126",2023,"75,100",0,0,0,0,1
luciamanfredii,"29,491",2024,"650,000",0,1,0,0,0
a_k_da_don,"1,677,932",2023,"1,500,000",1,0,0,1,0
funnyhoodvidz,"523,230",2024,"15,000,000",1,0,1,0,0
healthsmartacademy,"6,313",2024,"104,000",1,0,0,0,0
memezar,"172,764",2024,"23,200,000",1,0,1,0,0
didyoujustsaywig,"342,056",2024,"325,000",0,0,1,0,0
turbolearn.ai,"185,110",2024,"48,000",1,0,0,1,0
prarie_creek_homestead,"135,787",2024,"106,000",1,1,0,1,0
rawrszn,"807,078",2023,"1,500,000",0,0,1,1,0
janaepostedthat,"7,641",2022,"111,000",0,0,1,0,1
natureownbread,"125,901",2022,"16,500",1,0,0,1,0
cookiterica,"76,985",2022,"333,000",0,1,0,1,0
kasimjhardaway,"181,504",2022,"274,000",0,1,0,1,0
healthsmartacademy,"105,000",2024,326,1,0,0,1,0
halfghanspam,"58,800",2024,"5,521",1,0,1,0,1
chaoticwomen,"5,949",2023,"36,575",0,0,1,0,1
ijwms,"16,700",2024,"26,377",0,0,1,0,1
mugshawtys,"995,000",2023,"53,671",0,0,0,0,1
des_the_foodie_,"17,800",2024,"19,263",1,0,0,1,0
blackwall.st,"880,000",2024,"12,134",1,0,0,1,0
aymanalgedi12,"1,200,000",2024,"27,359",0,0,0,0,1
aljazeeraenglish,"4,500,000",2024,"29,956",0,0,0,0,1
eye.on.palestine,"11,500,000",2024,"359,000",0,0,0,0,1
